domain	utterance	intents
alarm	Please set an alarm for Monday night at 9 pm for Midnight Texas!	[IN:CREATE_ALARM]
alarm	repeat this alarm at 5:45	[IN:UPDATE_ALARM]
alarm	pause my alarms	[IN:SNOOZE_ALARM]
alarm	Set an alarm for 6am	[IN:CREATE_ALARM]
alarm	Set alarm for 7am Tuesday morning	[IN:CREATE_ALARM]
alarm	set alarm for 8 pm tonight	[IN:CREATE_ALARM]
alarm	Set alarm for 15 minutes.	[IN:CREATE_ALARM]
alarm	set alarm for 7am	[IN:CREATE_ALARM]
alarm	Cancel my alarm set for tomorrow morning	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Delete all alarms please.	[IN:DELETE_ALARM]
alarm	set alarm for tonight	[IN:CREATE_ALARM]
alarm	Set alarm for 4 pm tomorrow	[IN:CREATE_ALARM]
alarm	Set alarm to go off 8 hours from now.	[IN:CREATE_ALARM]
alarm	Set an alarm every minute for 10 minutes	[IN:CREATE_ALARM]
alarm	Set an alarm every 10 minutes for two hours.	[IN:CREATE_ALARM]
alarm	Set an alarm an hour from now	[IN:CREATE_ALARM]
alarm	play a beyonce song in my next alarm	[IN:UNSUPPORTED_ALARM]
alarm	set this alarm for 45 minutes	[IN:CREATE_ALARM]
alarm	Is my alarm set for tomorrow?	[IN:GET_ALARM, IN:GET_TIME]
alarm	Delete all alarms	[IN:DELETE_ALARM]
alarm	Set alarm for 20 minutes and label it laundry.	[IN:CREATE_ALARM]
alarm	set up alarm for 8pm tonight	[IN:CREATE_ALARM]
alarm	Set an alarm for 6am every day	[IN:CREATE_ALARM]
alarm	change my alarm from 7am to 9am on tuesday	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	alarm me every 30 minutes	[IN:CREATE_ALARM]
alarm	set alarm for 4 am on friday	[IN:CREATE_ALARM]
alarm	what time is the last alarm on sunday	[IN:GET_ALARM, IN:GET_TIME]
alarm	set my alarm for 7 minutes from now	[IN:CREATE_ALARM]
alarm	set alarm for 1 hour	[IN:CREATE_ALARM]
alarm	cancel snooze alarm	[IN:DELETE_ALARM]
alarm	Delete all alarms	[IN:DELETE_ALARM]
alarm	Show me all alarms	[IN:GET_ALARM]
alarm	Set an alarm for 7:30pm every day	[IN:CREATE_ALARM]
alarm	Cancel the alarm please.	[IN:DELETE_ALARM]
alarm	When is the next alarm	[IN:GET_ALARM]
alarm	Edit alarm for 4:55 am.	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Can we create a new alarm?	[IN:CREATE_ALARM]
alarm	How long do I have before my alarm goes off?	[IN:GET_ALARM]
alarm	set alarm tonight for tomorrow	[IN:CREATE_ALARM]
alarm	change wake up alarm to 6am on Thursday morning	[IN:UPDATE_ALARM]
alarm	Turn off the alarm	[IN:SILENCE_ALARM]
alarm	How long until my alarm goes off?	[IN:GET_ALARM]
alarm	turn off all alarms	[IN:SILENCE_ALARM]
alarm	Set alarm for the whole week for 7 am.	[IN:CREATE_ALARM]
alarm	delete alarms	[IN:DELETE_ALARM]
alarm	read me all my alarms set for tomorrow	[IN:GET_ALARM, IN:GET_TIME]
alarm	How much time is left on alarm?	[IN:GET_ALARM]
alarm	Cancel the alarms for next week due to the parade.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Show all alarms for today	[IN:GET_ALARM, IN:GET_TIME]
alarm	set an alarm every 7 minutes for one hour	[IN:CREATE_ALARM]
alarm	Please set alarm for 7 am tomorrow.	[IN:CREATE_ALARM]
alarm	How long until my alarm goes off?	[IN:GET_ALARM]
alarm	Set three alarms for tomorrow: 7am 9 am and 11am	[IN:CREATE_ALARM]
alarm	Set alarm for 1 minute	[IN:CREATE_ALARM]
alarm	how much time left until alarm goes off	[IN:GET_ALARM]
alarm	turn off alarm	[IN:SILENCE_ALARM]
alarm	Snooze alarm for 10 minutes.	[IN:SNOOZE_ALARM]
alarm	Set an alarm for 1:40 p.m.	[IN:CREATE_ALARM]
alarm	Set alarm for Saturday and Sunday at 10am.	[IN:CREATE_ALARM]
alarm	How many alarms are set for this week?	[IN:GET_ALARM, IN:GET_TIME]
alarm	Delete the alarm that I just set.	[IN:DELETE_ALARM]
alarm	Can you set an alarm for 6am?	[IN:CREATE_ALARM]
alarm	Set alarm for 4:00pm	[IN:CREATE_ALARM]
alarm	set alarm for 5 am tomorrow	[IN:CREATE_ALARM]
alarm	set an alarm for every 40 mins while im at the gym	[IN:UNSUPPORTED_ALARM]
alarm	how much time until my alarm sounds	[IN:GET_ALARM]
alarm	set an alarm for every three hours for the next day	[IN:CREATE_ALARM]
alarm	snooze alarm for 20 mins	[IN:SNOOZE_ALARM]
alarm	Set alarm for 12 minutes	[IN:CREATE_ALARM]
alarm	Make an alarm go off every 5 minutes.	[IN:CREATE_ALARM]
alarm	Cancel my alarm for tomorrow morning.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm for 8am	[IN:CREATE_ALARM]
alarm	Cancel all alarms	[IN:DELETE_ALARM]
alarm	Please edit Tuesdays alarm from 8am to 830am	[IN:UPDATE_ALARM, IN:GET_TIME, IN:GET_TIME]
alarm	set alarm for 7 am every day	[IN:CREATE_ALARM]
alarm	list all alarms	[IN:GET_ALARM]
alarm	delete alarm Wednesday 5 pm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Display all alarms.	[IN:GET_ALARM]
alarm	Please set an alarm for tomorrow at 6:30 a.m.	[IN:CREATE_ALARM]
alarm	Alarm set for every morning at 6am	[IN:CREATE_ALARM]
alarm	stop the alarm in 2 min	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Delete alarm for 5 am.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Snooze alarm for 5 minutes	[IN:SNOOZE_ALARM]
alarm	Add alarm at 6am tomorrow	[IN:CREATE_ALARM]
alarm	set alarm for 9:30 am	[IN:CREATE_ALARM]
alarm	set my alarm for 9am every Thursday	[IN:CREATE_ALARM]
alarm	turn the alarm off for tomorrow	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	set alarm	[IN:CREATE_ALARM]
alarm	Show me all of my alarms for Monday	[IN:GET_ALARM, IN:GET_TIME]
alarm	Delete all alarms	[IN:DELETE_ALARM]
alarm	set alarm for tomorrow at 3:30 pm	[IN:CREATE_ALARM]
alarm	set an alarm every 2 minutes for 20 minutes	[IN:CREATE_ALARM]
alarm	Please set an alarm for 9pm.	[IN:CREATE_ALARM]
alarm	Move my Monday alarm to Tuesday	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Cancel all my alarms	[IN:DELETE_ALARM]
alarm	Cancel the alarms I have today	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Cancel my 6 p.m. alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set my alarm for 7pm tonight	[IN:CREATE_ALARM]
alarm	delete all alarms that are set for friday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	save alarm tune	[IN:UNSUPPORTED_ALARM]
alarm	Set an alarm for 30 minutes from now.	[IN:CREATE_ALARM]
alarm	Show me all my alarms	[IN:GET_ALARM]
alarm	alarm for 7 am tomorrow	[IN:CREATE_ALARM]
alarm	Show me my alarms for Friday.	[IN:GET_ALARM, IN:GET_TIME]
alarm	stop the alarm	[IN:SILENCE_ALARM]
alarm	snooze all alarms	[IN:SNOOZE_ALARM]
alarm	Set alarm for 5 a.m.	[IN:CREATE_ALARM]
alarm	set alarm	[IN:CREATE_ALARM]
alarm	Set alarm for 7am	[IN:CREATE_ALARM]
alarm	I need alarms every four hours	[IN:CREATE_ALARM]
alarm	delete the alarm	[IN:DELETE_ALARM]
alarm	When is my next alarm?	[IN:GET_ALARM]
alarm	Set alarm for 8 am	[IN:CREATE_ALARM]
alarm	What alarms are set?	[IN:GET_ALARM]
alarm	please cancel alarm	[IN:DELETE_ALARM]
alarm	set alarm for 5 p.m.	[IN:CREATE_ALARM]
alarm	Move my alarm from 3 to 4.	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Cancel my alarm for 5pm.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set an alarm when i have 1 minute left	[IN:CREATE_ALARM]
alarm	Cancel alarm	[IN:DELETE_ALARM]
alarm	create an alarm for 12 a.m tonight.	[IN:CREATE_ALARM]
alarm	delete my alarm for 6am tomorrow	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	snooze the alarm for 10 minutes	[IN:SNOOZE_ALARM]
alarm	Set an alarm for 3 hours from now	[IN:CREATE_ALARM]
alarm	snooze all the alarms	[IN:SNOOZE_ALARM]
alarm	set an alarm for every 1.5 hours until 7 pm	[IN:CREATE_ALARM]
alarm	Set an alarm for 20 minutes	[IN:CREATE_ALARM]
alarm	set alarm for every 15 minutes	[IN:CREATE_ALARM]
alarm	Turn on all of my alarms	[IN:CREATE_ALARM]
alarm	When is my next alarm?	[IN:GET_ALARM]
alarm	Set up alarm for 4 am on Saturday	[IN:CREATE_ALARM]
alarm	Set alarm for 6 am tomorrow.	[IN:CREATE_ALARM]
alarm	Remove Thursday alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Cancel my alarm.	[IN:DELETE_ALARM]
alarm	set an alarm for tonight	[IN:CREATE_ALARM]
alarm	Delete my alarm	[IN:DELETE_ALARM]
alarm	Set alarm for 8:30pm	[IN:CREATE_ALARM]
alarm	Repeat alarm	[IN:UPDATE_ALARM]
alarm	Set an alarm for 10 am	[IN:CREATE_ALARM]
alarm	List all of my upcoming alarms for next week	[IN:GET_ALARM, IN:GET_TIME]
alarm	set alarm to wake me at 6am	[IN:CREATE_ALARM]
alarm	show all alarms	[IN:GET_ALARM]
alarm	Set alarm at 6 pm	[IN:CREATE_ALARM]
alarm	please set alarm for 9 pm tonight	[IN:CREATE_ALARM]
alarm	delete alarm for tonight	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Delete my alarm for tomorrow morning.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	snooze 10 more minutes	[IN:SNOOZE_ALARM]
alarm	please set an alarm for noon for just today	[IN:CREATE_ALARM]
alarm	How long until my alarm goes off.	[IN:GET_ALARM]
alarm	Set new alarm for 5 pm	[IN:CREATE_ALARM]
alarm	set an alarm for 2pm on friday	[IN:CREATE_ALARM]
alarm	cancel my alarm please	[IN:DELETE_ALARM]
alarm	set my alarm for every 5 minutes in a hour	[IN:CREATE_ALARM]
alarm	delete alarm for saturday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set 2 alarms	[IN:CREATE_ALARM]
alarm	When is my alarm set for	[IN:GET_ALARM]
alarm	turn off alarm	[IN:SILENCE_ALARM]
alarm	Show all alarms	[IN:GET_ALARM]
alarm	cancel alarm for thursday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	repeat alarm 5 times	[IN:UPDATE_ALARM]
alarm	Delete all my alarms	[IN:DELETE_ALARM]
alarm	set alarm for noon	[IN:CREATE_ALARM]
alarm	Play Reveille for my wake up alarm	[IN:UNSUPPORTED_ALARM]
alarm	snooze the alarm for 10 minutes	[IN:SNOOZE_ALARM]
alarm	Set an alarm for 6 pm	[IN:CREATE_ALARM]
alarm	turn off this alarm	[IN:SILENCE_ALARM]
alarm	Cancel my 6 am alarm for tomorrow.	[IN:DELETE_ALARM, IN:GET_TIME, IN:GET_TIME]
alarm	cancel all my alarms	[IN:DELETE_ALARM]
alarm	change my alarm from 5 AM to 6 AM	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	please set an alarm for every 4 hours	[IN:CREATE_ALARM]
alarm	cancel all alarms for the week	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 1 hour	[IN:CREATE_ALARM]
alarm	Show me all my alarms	[IN:GET_ALARM]
alarm	cancel all alarms this week	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Remove alarm on Saturday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 7pm tonight.	[IN:CREATE_ALARM]
alarm	snooze all alarms	[IN:SNOOZE_ALARM]
alarm	Set an alarm for 5 am tomorrow.	[IN:CREATE_ALARM]
alarm	Show all alarms	[IN:GET_ALARM]
alarm	set alarm for 3am	[IN:CREATE_ALARM]
alarm	please turn the alarm for tomorrow to vibrate	[IN:UNSUPPORTED_ALARM]
alarm	cancel all alarms	[IN:DELETE_ALARM]
alarm	snooze alarm for 15 min	[IN:SNOOZE_ALARM]
alarm	how much time  until next alarm goes off	[IN:GET_ALARM]
alarm	Repeat 9:00 alarm for weekdays only	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	set alarm for wednesday at 6 am	[IN:CREATE_ALARM]
alarm	do not allow snooze for next alarm	[IN:UNSUPPORTED_ALARM]
alarm	Change 2pm alarm for Sunday to 1pm	[IN:UPDATE_ALARM, IN:GET_TIME, IN:GET_TIME]
alarm	pause alarm every 15 minutes	[IN:UNSUPPORTED_ALARM]
alarm	When's my next alarm?	[IN:GET_ALARM]
alarm	show me alarms please	[IN:GET_ALARM]
alarm	Stop the alarm.	[IN:SILENCE_ALARM]
alarm	How much time is left until my alarm goes off?	[IN:GET_ALARM]
alarm	delete all alarms for today	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Activate evening alarm	[IN:CREATE_ALARM]
alarm	Set tomorrows alarm for 4 am and then 7 am.	[IN:CREATE_ALARM]
alarm	Turn on alarms	[IN:CREATE_ALARM]
alarm	How much time is left on the alarm?	[IN:GET_ALARM]
alarm	what is my daily alarm set for	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set an alarm at noon	[IN:CREATE_ALARM]
alarm	can you set an alarm for 5 pm	[IN:CREATE_ALARM]
alarm	What are my alarms?	[IN:GET_ALARM]
alarm	Delete tomorrows alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set alarm for 530 tomorrow morning	[IN:CREATE_ALARM]
alarm	Please cancel my alarms	[IN:DELETE_ALARM]
alarm	What time is my next alarm set for?	[IN:GET_ALARM]
alarm	set alarm for 6 am Monday-Friday	[IN:CREATE_ALARM]
alarm	CANCEL ALL ALARMS	[IN:DELETE_ALARM]
alarm	set an alarm for 5 am	[IN:CREATE_ALARM]
alarm	Cancel 7:00 am alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Reset alarm for 1 hour from now	[IN:SILENCE_ALARM]
alarm	Set an alarm for 5:30 tomorrow morning so I can wake up	[IN:CREATE_ALARM]
alarm	Snooze alarm for 10 minutes	[IN:SNOOZE_ALARM]
alarm	Set an alarm in 10 please	[IN:CREATE_ALARM]
alarm	delete all alarms that are set for Tuesday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set my alarm for 6 hours	[IN:CREATE_ALARM]
alarm	cancel all the alarms	[IN:DELETE_ALARM]
alarm	snooze my alarm for 10 minutes	[IN:SNOOZE_ALARM]
alarm	Set alarm for 6am on Mondays, Wednesdays, and Fridays	[IN:CREATE_ALARM]
alarm	Add new alarm	[IN:CREATE_ALARM]
alarm	cancel alarm for 6 pm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	I need three alarms tomorrow 6 am 7 am and 8 am	[IN:CREATE_ALARM]
alarm	how long do I have before my alarm goes off	[IN:GET_ALARM]
alarm	display alarms please	[IN:GET_ALARM]
alarm	Make an alarm for every other saturday at 8pm.	[IN:CREATE_ALARM]
alarm	when is my alarm set for?	[IN:GET_ALARM]
alarm	what time is my alarm set foR?	[IN:GET_ALARM]
alarm	in how many hrs will the  alarm go off?	[IN:GET_ALARM]
alarm	Do I have an alarm set for Sunday morning	[IN:GET_ALARM, IN:GET_TIME]
alarm	cancel 10pm alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Cancel my last alarm	[IN:DELETE_ALARM]
alarm	please set an alarm for 7 am	[IN:CREATE_ALARM]
alarm	Cancel all current alarms please.	[IN:DELETE_ALARM]
alarm	pause my alarm	[IN:SNOOZE_ALARM]
alarm	what time is my alarm set for on thursday?	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set alarm for 7 am tomorrow morning	[IN:CREATE_ALARM]
alarm	Set my alarm to go off every day.	[IN:CREATE_ALARM]
alarm	cancel the 10 minute alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	cancel alarm	[IN:DELETE_ALARM]
alarm	Set alarm for tomorrow at 9:45am	[IN:CREATE_ALARM]
alarm	Turn off my last alarm	[IN:SILENCE_ALARM]
alarm	Turn off my alarms.	[IN:SILENCE_ALARM]
alarm	Set two alarms for 7:15 and 7:30.	[IN:CREATE_ALARM]
alarm	Set alarm for 8 AM tomorrow	[IN:CREATE_ALARM]
alarm	No alarms on Saturday	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	delete all the alarms set for april	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Display all my alarms for the work week	[IN:GET_ALARM, IN:GET_TIME]
alarm	Can I have an alarm set for 8 am	[IN:CREATE_ALARM]
alarm	set an alarm at the start of every hour.	[IN:CREATE_ALARM]
alarm	What time is my next alarm set	[IN:GET_ALARM]
alarm	HOW MUCH TIME IS LEFT ON THE 30 MINUTE ALARM?	[IN:GET_ALARM, IN:GET_TIME]
alarm	Show me all of my alarms for today.	[IN:GET_ALARM, IN:GET_TIME]
alarm	Please cancel all alarms for this weekend	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Did I set an alarm for tomorrow?	[IN:GET_ALARM, IN:GET_TIME]
alarm	Turn alarm on	[IN:CREATE_ALARM]
alarm	set an alarm every 3 minutes for 15 minutes	[IN:CREATE_ALARM]
alarm	Snooze alarm	[IN:SNOOZE_ALARM]
alarm	Set alarm for 10 minutes from now.	[IN:CREATE_ALARM]
alarm	How much time until wake up alarm?	[IN:GET_ALARM]
alarm	How many minutes until my next alarm goes off?	[IN:GET_ALARM]
alarm	set alarm for every other hour	[IN:CREATE_ALARM]
alarm	Set alarm every 2 minutes for 30 minutes.	[IN:CREATE_ALARM]
alarm	delete alarm	[IN:DELETE_ALARM]
alarm	set alarm at 5pm tonight	[IN:CREATE_ALARM]
alarm	Set alarm for 6 am	[IN:CREATE_ALARM]
alarm	Delete all the alarm	[IN:DELETE_ALARM]
alarm	set alarm for 11pm	[IN:CREATE_ALARM]
alarm	Change my alarm from 440 am to 500 am.	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Cancel alarms for Tuesday.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Turn off that alarm please.	[IN:SILENCE_ALARM]
alarm	Add a new alarm.	[IN:CREATE_ALARM]
alarm	Set alarm for 7am every Monday.	[IN:CREATE_ALARM]
alarm	Set alarm for 10pm tonight	[IN:CREATE_ALARM]
alarm	How much time is left before the alarm goes off?	[IN:GET_ALARM]
alarm	When is my next alarm set?	[IN:GET_ALARM]
alarm	Set alarm for 10 am today	[IN:CREATE_ALARM]
alarm	Snooze alarm for 1 hour	[IN:SNOOZE_ALARM]
alarm	set a daily alarm for 5:30 am	[IN:CREATE_ALARM]
alarm	What alarms do I have set for tomorrow?	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set alarm for 2:00 pm today	[IN:CREATE_ALARM]
alarm	set an alarm for 5 min before class ends	[IN:CREATE_ALARM]
alarm	show all alarms	[IN:GET_ALARM]
alarm	Set a daily alarm at 3:00 pm.	[IN:CREATE_ALARM]
alarm	Turn the snooze on for five minutes.	[IN:SNOOZE_ALARM]
alarm	Set alarm for 5 minutes.	[IN:CREATE_ALARM]
alarm	set alarm for every day this week	[IN:CREATE_ALARM]
alarm	What time is my alarm set for Saturday.	[IN:GET_ALARM, IN:GET_TIME]
alarm	Cancel all morning alarms	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	delete the alarms for the weekend	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm for 6 AM	[IN:CREATE_ALARM]
alarm	Add an alarms for 6:30 and 6:45 AM	[IN:CREATE_ALARM]
alarm	Set alarm for 5 pm tonight	[IN:CREATE_ALARM]
alarm	Delete alarm for 7pm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Pause my alarm	[IN:SNOOZE_ALARM]
alarm	Set an alarm for 7:30 am on all weekdays	[IN:CREATE_ALARM]
alarm	set my alarm for 5 am	[IN:CREATE_ALARM]
alarm	Change the alarm for 10 am to 10:30 am.	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Cancel the alarm that I set for tomorrow.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	turn off alarm	[IN:SILENCE_ALARM]
alarm	please set an alarm for 7:00AM on Monday	[IN:CREATE_ALARM]
alarm	set an alarm at seven am	[IN:CREATE_ALARM]
alarm	how much time is left on this alarm	[IN:GET_ALARM]
alarm	add an alarm on tuesdays and thursdays at 1 pm	[IN:CREATE_ALARM]
alarm	how much time is on alarm please	[IN:GET_ALARM]
alarm	Set an alarm at 5 pm on Wednesdays and Thursdays	[IN:CREATE_ALARM]
alarm	Snooze alarm for 15 minutes.	[IN:SNOOZE_ALARM]
alarm	Set alarms for 3pm and 3:30pm today	[IN:CREATE_ALARM]
alarm	delete 4:30 alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm every minute for 40 minutes.	[IN:CREATE_ALARM]
alarm	set alarm for 7 pm tonight	[IN:CREATE_ALARM]
alarm	turn off alarm for 7am	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Set alarm every minute for 12 minutes	[IN:CREATE_ALARM]
alarm	Set the alarm for work at seven.	[IN:CREATE_ALARM]
alarm	delete all of my alarms	[IN:DELETE_ALARM]
alarm	set alarm for the oven	[IN:CREATE_ALARM]
alarm	Set Sunday's alarm for 10 am	[IN:CREATE_ALARM]
alarm	Turn off my 8 am alarm.	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Can you set an alarm for 7am tomorrow?	[IN:CREATE_ALARM]
alarm	Set alarm at 7am	[IN:CREATE_ALARM]
alarm	set alarm for 7 am	[IN:CREATE_ALARM]
alarm	do not allow the snooze option on my alarms	[IN:UNSUPPORTED_ALARM]
alarm	show all alarms	[IN:GET_ALARM]
alarm	alarm for 5am	[IN:CREATE_ALARM]
alarm	set alarm for 15 minutes from now	[IN:CREATE_ALARM]
alarm	List all alarms.	[IN:GET_ALARM]
alarm	would you set an alarm for Thursday night 8 pm criminal minds.	[IN:CREATE_ALARM]
alarm	Set my alarm for 1 hour from now	[IN:CREATE_ALARM]
alarm	turn off alarm	[IN:SILENCE_ALARM]
alarm	Set the alarm for tomorrow morning.	[IN:CREATE_ALARM]
alarm	I want to change my alarm sound.	[IN:UNSUPPORTED_ALARM]
alarm	Set alarm every minute for 5 minutes.	[IN:CREATE_ALARM]
alarm	Set five alarms starting at 6 AM with periods of 10 minutes	[IN:CREATE_ALARM]
alarm	set alarm for 12 a.m.	[IN:CREATE_ALARM]
alarm	Set an alarm for tomorrow at 5pm	[IN:CREATE_ALARM]
alarm	SET ALARM FOR 7 AM FOR THE WEEKEND	[IN:CREATE_ALARM]
alarm	what time are all the alarms set for?	[IN:GET_ALARM]
alarm	Set an alarm for every 3 minutes for 15 minutes.	[IN:CREATE_ALARM]
alarm	Delete all alarms set for today.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set alarm for every hour	[IN:CREATE_ALARM]
alarm	snooze alarm for 5 minutes	[IN:SNOOZE_ALARM]
alarm	Set the alarm	[IN:CREATE_ALARM]
alarm	Snooze alarm for 10 minutes	[IN:SNOOZE_ALARM]
alarm	Set an alarm for 6am tomorrow morning	[IN:CREATE_ALARM]
alarm	Set an alarm for 5 minutes	[IN:CREATE_ALARM]
alarm	new alarm: 5 pm	[IN:CREATE_ALARM]
alarm	Set an alarm for every hour.	[IN:CREATE_ALARM]
alarm	show my alarms for this weekend	[IN:GET_ALARM, IN:GET_TIME]
alarm	how much time is left on my alarm	[IN:GET_ALARM]
alarm	Turn off the alarm for tomorrow.	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	change all am alarms to pm	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Set alarm for midnight.	[IN:CREATE_ALARM]
alarm	Set an alarm to go off in thirty minutes	[IN:CREATE_ALARM]
alarm	Set alarm for 9am on weekends	[IN:CREATE_ALARM]
alarm	Set alarm every minute for 15 minutes	[IN:CREATE_ALARM]
alarm	reset alarms	[IN:SILENCE_ALARM]
alarm	How much time before my alarm goes off	[IN:GET_ALARM]
alarm	Change my alarm to 7:20am	[IN:UPDATE_ALARM]
alarm	set alarm for 9 am tomorrow	[IN:CREATE_ALARM]
alarm	please cancel my alarm for tomorrow morning	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set alarm for 8am	[IN:CREATE_ALARM]
alarm	Mute my Alarms.	[IN:UNSUPPORTED_ALARM]
alarm	set alarm for 20 min	[IN:CREATE_ALARM]
alarm	Cancel the alarm.	[IN:DELETE_ALARM]
alarm	set alarm for 7 am	[IN:CREATE_ALARM]
alarm	SET ALARM FOR 6:30AM MONDAY THROUGH FRIDAY.	[IN:CREATE_ALARM]
alarm	set alarm for 7:30 a.m.	[IN:CREATE_ALARM]
alarm	Permanently delete all alarms and reminders from 2016.	[IN:UNSUPPORTED_ALARM]
alarm	turn off alarm	[IN:SILENCE_ALARM]
alarm	cancel the snooze alarms set this week	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set the alarm for every 10 minutes starting at 5 am until I turn it off	[IN:CREATE_ALARM]
alarm	Cancel tomorrow's alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set me up an alarm after one hour	[IN:CREATE_ALARM]
alarm	Tell me all my alarm times.	[IN:GET_ALARM]
alarm	Set alarm for 8 am tomorrow	[IN:CREATE_ALARM]
alarm	Stop all alarms for the day	[IN:SILENCE_ALARM]
alarm	Turn off my 6am alarm	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	set alarm to pick up the groceries	[IN:CREATE_ALARM]
alarm	Turn off alarm.	[IN:SILENCE_ALARM]
alarm	set the alarm every minute for 5 minutes	[IN:CREATE_ALARM]
alarm	cancel alarm for tomorrow	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Delete all current alarms	[IN:DELETE_ALARM]
alarm	set an alarm for 6am	[IN:CREATE_ALARM]
alarm	When  is my next alarm set for?	[IN:GET_ALARM]
alarm	Set an alarm once on Saturday at 9 am	[IN:CREATE_ALARM]
alarm	snooze alarm	[IN:SNOOZE_ALARM]
alarm	Stop the alarm	[IN:SILENCE_ALARM]
alarm	delete all alarms	[IN:DELETE_ALARM]
alarm	Set alarm to go off every three hours	[IN:CREATE_ALARM]
alarm	Set alarm every minute for 25 minutes.	[IN:CREATE_ALARM]
alarm	alarm for 9 am.	[IN:CREATE_ALARM]
alarm	set an alarm to go off at 2 pm	[IN:CREATE_ALARM]
alarm	silent all alarms from 10pm to 6am	[IN:UNSUPPORTED_ALARM]
alarm	I need a 5pm alarm set	[IN:CREATE_ALARM]
alarm	cancel the alarm that is set for tomorrow	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set alarm for noon	[IN:CREATE_ALARM]
alarm	cancel alarm for tomorrow	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	cancel all alarms	[IN:DELETE_ALARM]
alarm	set the alarm for 2 pm	[IN:CREATE_ALARM]
alarm	Set an alarm for 6 tomorrow morning	[IN:CREATE_ALARM]
alarm	delete all alarms	[IN:DELETE_ALARM]
alarm	Delete tomorrow's alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Shut off all morning alarms for Monday	[IN:SILENCE_ALARM, IN:GET_TIME, IN:GET_TIME]
alarm	Show me my alarms for tomorrow	[IN:GET_ALARM, IN:GET_TIME]
alarm	how many minutes left on my alarm	[IN:GET_ALARM]
alarm	Set my alarm for tonight at 2:30.	[IN:CREATE_ALARM]
alarm	Set alarm for every 15 minutes	[IN:CREATE_ALARM]
alarm	When will my alarm go off	[IN:GET_ALARM]
